Nr.,Bashkia/Municipality,Qarku/Prefecture
1,Berat,Berat
2,Kuçovë,Berat
3,Poliçan,Berat
4,Skrapar,Berat
5,Ura Vajgurore/Dimal,Berat
6,Bulqizë,Dibër
7,Dibër,Dibër
8,Klos,Dibër
9,Mat,Dibër
10,Belsh,Elbasan
11,Cërrik,Elbasan
12,Elbasan,Elbasan
13,Gramsh,Elbasan
14,Delvinë,Vlorë
15,Himarë,Vlorë
16,Finiq,Vlorë
17,Devoll,Korçë
18,Kolonjë,Korçë
19,Korçë,Korçë
20,Divjakë,Fier
21,Fier,Fier
22,Dropull,Gjirokastër
23,Gjirokastër,Gjirokastër
24,Këlcyrë,Gjirokastër
25,Libohovë,Gjirokastër
26,Memaliaj,Gjirokastër
27,Përmet,Gjirokastër
28,Tepelenë,Gjirokastër
29,Durrës,Durrës
30,Krujë,Durrës
31,Shijak,Durrës
32,Fushë-Arrëz,Shkodër
33,Malësi e Madhe,Shkodër
34,Shkodër,Shkodër
35,Pukë,Shkodër
36,Vau i Dejës,Shkodër
37,Has,Kukës
38,Kukës,Kukës
39,Tropojë,Kukës
40,Kamëz,Tiranë
41,Kavajë,Tiranë
42,Rrogozhinë,Tiranë
43,Tiranë,Tiranë
44,Vorë,Tiranë
45,Konispol,Vlorë
46,Sarandë,Vlorë
47,Selenicë,Vlorë
48,Vlorë,Vlorë
49,Kurbin,Lezhë
50,Lezhë,Lezhë
51,Mirditë,Lezhë
52,Librazhd,Elbasan
53,Peqin,Elbasan
54,Prrenjas,Elbasan
55,Lushnje,Fier
56,Patos,Fier
57,Mallakastër,Fier
58,Roskovec,Fier
59,Maliq,Korçë
60,Pogradec,Korçë
61,Pustec,Korçë